price,quantity,type,timestamp
38979000,1.261,1,04/28 17:52:53
38980000,0.0558,1,04/28 17:52:53
38982000,0.062,1,04/28 17:52:53
38967000,0.0895,0,04/28 17:52:54
38965000,0.1111,0,04/28 17:52:54
38964000,0.1371,0,04/28 17:52:54
38963000,0.0319,0,04/28 17:52:54
38962000,0.0084,0,04/28 17:52:54
38977000,0.0546,1,04/28 17:52:54
38978000,0.0564,1,04/28 17:52:54
38979000,1.261,1,04/28 17:52:54
38980000,0.0558,1,04/28 17:52:54
38982000,0.062,1,04/28 17:52:54
38982000,0.0845,0,04/28 17:52:55
38981000,0.2165,0,04/28 17:52:55
38980000,0.0914,0,04/28 17:52:55
38978000,0.1935,0,04/28 17:52:55
38977000,0.0226,0,04/28 17:52:55
38988000,0.0053,1,04/28 17:52:55
38990000,0.0493,1,04/28 17:52:55
38991000,1.7737,1,04/28 17:52:55
38992000,0.0446,1,04/28 17:52:55
38993000,0.0642,1,04/28 17:52:55
38981000,0.2149,0,04/28 17:52:56
38980000,0.0995,0,04/28 17:52:56
38978000,0.1935,0,04/28 17:52:56
38977000,0.0214,0,04/28 17:52:56
38973000,0.0581,0,04/28 17:52:56
38982000,0.0845,1,04/28 17:52:56
38989000,0.0629,1,04/28 17:52:56
38990000,0.0493,1,04/28 17:52:56
38991000,1.261,1,04/28 17:52:56
38992000,0.0581,1,04/28 17:52:56
38980000,0.0914,0,04/28 17:52:57
38978000,0.1043,0,04/28 17:52:57
38977000,0.0214,0,04/28 17:52:57
38975000,0.087,0,04/28 17:52:57
38973000,0.0581,0,04/28 17:52:57
38981000,0.0514,1,04/28 17:52:57
38982000,0.0845,1,04/28 17:52:57
38989000,0.0629,1,04/28 17:52:57
38990000,0.0493,1,04/28 17:52:57
38991000,1.261,1,04/28 17:52:57
38977000,0.0214,0,04/28 17:52:58
38975000,0.087,0,04/28 17:52:58
38973000,0.0524,0,04/28 17:52:58
38972000,0.0914,0,04/28 17:52:58
38967000,0.1288,0,04/28 17:52:58
38981000,0.0514,1,04/28 17:52:58
38982000,0.0845,1,04/28 17:52:58
38989000,0.0629,1,04/28 17:52:58
38990000,0.0493,1,04/28 17:52:58
38991000,1.261,1,04/28 17:52:58
